Este Norte Cota Ni Fe Mg SiO2 Cr razon SiMg TipoRoca
1643.7 1663.5 133.6 0.87 50.3 0.1 5.7 10.4 2.17 57 10
1643.8 1820 96.4 3.02 18.5 8.63 45.39 2.3 1.04 5.26 42
1643.8 1820 92.9 3.26 16.6 10.34 43.28 2.6 0.94 4.19 42
1643.8 1841.7 129.8 0.69 36.3 1.7 15.27 15.6 2.45 8.98 10
1643.9 1812 122.4 0.58 39 0.66 7.46 18.2 2.44 11.3 10
1643.9 1792.5 101.5 1.49 47.3 0.9 7.62 8.4 2.75 8.47 44
1643.9 1680.8 103.4 1.27 27.2 3.71 37.8 2.4 1.3 10.19 43
1643.9 1680.8 99.9 1.96 10.4 18.86 45.5 1.8 0.97 2.41 40
1643.9 1704 120.5 0.8 41.3 0.4 4.8 14 1.69 12 10
1643.9 1691 96.2 1.21 23.2 1.93 45.21 3.2 0.88 23.42 43
1643.9 1691 92.7 1.23 20 2.38 50.1 2.8 0.89 21.05 43
1643.9 1719.2 89.7 1.82 12 18.17 47.52 2 0.63 2.62 42
1643.9 1719.2 86.2 1.7 9.3 20.12 47.88 1.7 0.48 2.38 40
1643.9 1718.1 115.2 1.15 49.8 1.3 2.96 14.9 3.81 2.28 44
1644 1783.3 82.7 2.38 16.2 14.52 41.02 2.3 0.83 2.83 42
1644 1783.3 79.2 2.45 19.3 10.5 40.47 2.8 1 3.85 42
1644 1775.5 96.9 2.71 11 16.76 48.38 1.8 0.47 2.89 42
1644 1775.5 93.4 2.2 11.9 17.99 44.86 1.6 0.56 2.49 42
1644.1 1697 103.3 0.89 23 1.43 45.8 2.1 1.3 32.03 43
1644.1 1697 99.8 1.13 24.9 1.32 43.31 2.4 1.4 32.81 43
1644.1 1821.7 115.3 0.98 47.7 0.7 4.08 10.2 2.92 5.83 10
1644.1 1793.9 89.6 2.2 12.5 18.69 46.55 1.2 0.59 2.49 42
1644.1 1793.9 86.1 2.77 10.4 18.98 46.47 1.6 0.54 2.45 40
1644.1 1700.8 89.5 2.67 24.8 4.02 32.63 5.1 2.14 8.12 42
1644.1 1700.8 86 3.04 23.4 3.27 36.42 4.7 1.98 11.14 42
1644.1 1792.1 82.6 0.75 7.6 24.91 46.72 0.5 0.39 1.88 40
1644.1 1792.1 79.1 0.66 6.8 28.24 45.65 0.4 0.32 1.62 50
1644.1 1742.1 122.2 0.83 42.4 0.79 5.58 15.5 2.94 7.06 10
1644.1 1683.6 108.1 1.22 28.5 0.69 37.86 2 1.82 54.87 43
1644.1 1719.6 96.7 1.84 30.7 3.65 24.98 6.3 1.26 6.84 43
1644.1 1719.6 93.2 1.64 37 1.47 18.47 5.3 1.76 12.56 44
1644.1 1817.6 101.7 2.78 25.4 4.29 36.06 2 1.6 8.41 42
1644.1 1772.9 122.4 0.69 46.3 1.01 5.01 15.2 3.04 4.96 10
1644.2 1723.2 115.2 1 48.1 0.76 3.39 13.3 2.91 4.46 10
1644.2 1823.2 122.5 0.65 40.1 0.56 7.23 16.3 2.67 12.91 10
1644.2 1689.7 90.7 1.59 21 5.02 45.91 2.9 0.88 9.15 42
1644.2 1689.7 87.2 2.26 17.6 8.88 44.6 2.6 0.81 5.02 42
1644.2 1652.9 108.3 1.17 34.3 1.05 25.21 5.9 2.4 24.01 20
1644.2 1782.8 115.1 1.16 43.2 0.55 7.69 12.6 2.99 13.98 44
1644.2 1713.3 103.5 1.47 42.4 0.87 13.83 6 2.94 15.9 44
1644.2 1676.6 96.1 1.48 24.8 2.4 40 4.3 1.29 16.67 43
1644.2 1676.6 92.6 1.55 25.6 2.36 36.66 4.4 1.32 15.53 43
1644.3 1808.2 96.6 2.16 26.2 5.54 30.06 4.9 1.32 5.43 42
1644.3 1808.4 89.7 3.46 12.8 14.53 48.6 1.8 0.59 3.34 42
1644.3 1808.4 86.2 3.36 15.7 15.5 41.47 2.4 0.75 2.68 42
1644.3 1679.3 130 0.66 43.8 0.2 7.5 16.4 1.83 37.5 10
1644.3 1753 115.2 1.04 51.1 0.68 5.26 8.3 2.78 7.74 10
1644.4 1768.5 97 1.22 8.6 23.6 45.75 1.7 0.39 1.94 40
1644.4 1768.5 93.5 1.38 9.5 22.47 44.31 1.5 0.48 1.97 40
1644.4 1652.8 126 0.77 51.3 0.5 5 8.7 2.38 10 10
1644.4 1648.6 126.1 0.68 50.5 0.6 5.2 9.6 2.16 8.67 10
1644.4 1651 125.7 0.82 49.3 0.1 6.5 10.4 2.2 65 10
1644.4 1703.2 96.4 2.67 21.6 4.48 41.6 4.1 0.88 9.29 42
1644.4 1703.2 92.9 4.78 19.6 5.85 44.02 3.3 0.92 7.52 42
1644.5 1688.6 115.4 1.26 53.8 0.82 5.8 7.4 2.9 7.07 44
1644.5 1779.9 122.3 0.71 44.3 0.87 4.35 16.2 2.81 5 10
1644.5 1734.8 89.6 1.13 13.3 11.27 55.59 0.8 0.66 4.93 42
1644.5 1734.8 86.1 0.91 9.2 19.93 51.8 1 0.42 2.6 40
1644.5 1753.6 122.2 0.75 44.1 0.99 5.52 15.3 2.94 5.58 10
1644.6 1677.8 90.5 2.85 13 15.29 50.33 1.3 0.62 3.29 42
1644.6 1677.8 87 3.12 9.9 15.28 52.99 0.8 0.56 3.47 42
1644.6 1834.6 122.5 0.57 36.5 0.55 9.73 19.5 2.62 17.69 13
1644.6 1694.7 120.7 0.97 47.3 0.5 4.9 11.7 1.86 9.8 10
1644.6 1755 122.4 0.75 42.9 1.16 3.84 17.7 3.25 3.31 10
1644.6 1646.7 89.8 1.97 13.1 8.96 57.42 1.4 0.58 6.41 42
1644.6 1646.7 86.3 1.52 13.4 7.21 58.93 1.4 0.61 8.17 42
1644.6 1822.5 129.5 1.4 43.1 2.21 10.68 10.6 3.08 4.83 44
1644.6 1729.2 103.5 1.67 41.9 1.21 16.19 7.6 2.4 13.38 44
1644.6 1729.2 100 1.64 43.5 1.22 14.69 8 2.61 12.04 44
1644.7 1769.1 127.8 0.42 37.5 0.29 7.22 20.4 2.38 24.9 10
1644.7 1744.8 86.1 0.28 5 29.68 40.5 0.4 0.22 1.36 50
1644.7 1710.9 126 0.7 42.9 0.5 6.5 15 1.66 13 10
1644.7 1806.7 82.7 3.42 12.2 16.83 42.04 1.9 0.58 2.5 42
1644.7 1806.7 79.2 2.47 9.8 18.2 49.56 1.5 0.46 2.72 40
1644.7 1694.1 115.4 1.67 52.1 0.36 5.82 6.5 2.81 16.17 44
1644.7 1800.6 115.1 1 47.7 0.33 5.28 12.2 2.6 16 10
1644.7 1786 96.8 2.11 22.1 9.42 36.18 3.5 1.21 3.84 42
1644.7 1786 93.3 2.34 16.9 14.79 40.49 2.5 0.83 2.74 42
1644.8 1761.5 97 0.64 7 22.21 50.34 0.8 0.35 2.27 40
1644.8 1761.5 93.5 0.61 8.9 22.83 44.15 1.1 0.42 1.93 40
1644.8 1688.6 125.7 0.76 44.3 0.4 4.1 10.2 1.73 10.25 24
1644.8 1708.8 120.6 0.78 42.2 0.6 4.7 14.6 1.91 7.83 10
1644.8 1796.9 93.1 2.23 29.7 3.01 29.17 4.6 1.8 9.69 42
1644.8 1796.9 96.6 2.52 22.5 3.2 39.53 3.1 1.3 12.35 42
1644.8 1771.7 114.9 1.09 48.6 0.87 6.66 11 3.34 7.66 10
1644.9 1713.1 121.5 0.79 42.5 0.9 6.52 15.8 2.55 7.24 10
1644.9 1767.5 115 1.21 52 0.54 5.22 9.4 3.17 9.67 44
1645 1745.4 103.3 0.54 8.9 21.27 49.1 1 0.6 2.31 40
1645 1745.4 99.8 0.66 12.2 19.43 45.34 1.7 0.85 2.33 40
1645 1729.1 115.2 1.69 47.3 1.1 5.94 12.6 3.21 5.4 44
1645 1699.4 120.7 1.02 43 0.8 6 14.2 2.28 7.5 10
1645 1684.6 120.6 1.01 53.9 0.4 4.4 8.1 1.91 11 10
1645 1798.8 115 0.87 45.6 0.95 5.16 10.4 2.35 5.43 10
1645.1 1712.2 96.5 2.25 28 3.79 28.6 2.6 1.28 7.55 43
1645.1 1712.1 115.1 0.99 47 1.36 5.02 13.3 2.52 3.69 10
1645.1 1822.1 82.4 2.38 12.5 19.03 42.78 2.2 0.68 2.25 42
1645.1 1822.1 78.9 1.66 10.5 23.42 41.92 1.7 0.49 1.79 40
1645.1 1744.3 126.2 0.62 38.7 0.5 11.17 17.1 2.28 22.34 10
1645.1 1787 122.4 0.63 39.9 0.77 7.95 18.3 2.42 10.32 10
1645.1 1761.7 103.2 1.29 16 8.79 54.78 1.8 0.92 6.23 42
1645.1 1761.7 99.7 1.03 12.3 13.89 53.99 1.3 0.78 3.89 42
1645.1 1737.3 96.9 0.95 9.4 14.97 58.13 0.7 0.46 3.88 42
1645.1 1737.3 93.4 1.2 9.1 17.08 54.95 0.4 0.38 3.22 40
1645.1 1661.7 108.1 3.15 17 8.45 46.6 2.7 1.26 5.51 42
1645.2 1669.8 103.5 1.96 17.6 5.66 47.02 1.8 1.06 8.31 42
1645.2 1669.8 100 3.19 18.6 5.8 44.1 3.2 1.3 7.6 42
1645.2 1741.5 115.2 1.47 51 0.63 4.64 9.4 2.83 7.37 44
1645.2 1836.4 96.6 1.63 10.5 19.66 50.91 0.9 0.57 2.59 40
1645.2 1683 115.5 1.86 43.7 0.82 15.82 8.8 2.94 19.29 44
1645.3 1764.9 122.3 0.72 41.5 3.63 7.14 14 3.04 1.97 10
1645.3 1640.4 119.6 1.06 29.9 0.4 39 3.2 1.29 97.5 20
1645.3 1793.7 122.4 0.69 38.1 0.93 9.48 18.1 2.46 10.19 10
1645.3 1793.9 122.4 0.68 38.7 0.53 8.5 18.1 2.42 16.04 10
1645.4 1663.2 89.8 4.13 8.1 20.73 49.65 0.9 0.49 2.4 40
1645.4 1663.2 86.3 1.46 9.1 24.97 43.37 1.5 0.42 1.74 40
1645.4 1834.2 129.7 0.93 41 0.77 10.78 13.4 3.09 14 10
1645.4 1685.9 103.3 1.31 25.6 1.85 43.11 3.5 1.55 23.3 43
1645.4 1685.9 99.8 1.14 21.9 1.49 45.02 3.4 1.32 30.21 43
1645.4 1700.8 115.3 1.6 51.9 0.55 6.04 7.1 2.84 10.98 44
1645.4 1794.2 128.9 0.52 35.6 0.39 11.16 19.3 2.26 28.62 13
1645.4 1754.7 96.9 1.2 19 6.83 46 2.3 1.28 6.73 42
1645.4 1754.7 93.4 1.35 18 8.3 45.68 3.3 1.28 5.5 42
1645.4 1644.2 125.9 0.79 46.9 0.6 6.3 10.1 2.38 10.5 10
1645.4 1818.5 115.3 1.03 48.1 0.26 4.53 11.1 3.02 17.42 10
1645.5 1819.5 89.4 1.78 10.3 18.63 52.14 1.4 0.5 2.8 40
1645.5 1819.5 85.9 1.35 8.9 16.86 56.48 1.1 0.46 3.35 40
1645.5 1799.1 101.7 1.59 43.7 1.63 10.42 6 2.79 6.39 44
1645.5 1734.7 96.9 1.51 16.3 12.77 49.35 1.4 0.67 3.86 42
1645.5 1734.7 93.4 1.94 27.8 5.01 35.44 3.9 1.28 7.07 42
1645.5 1724.2 121.8 0.73 41.9 0.92 7.48 15.6 2.27 8.13 10
1645.6 1825 96.4 2.45 11.9 16.31 48.69 1.2 0.48 2.99 42
1645.6 1825 92.9 2.11 11.2 16.54 47.89 1.4 0.45 2.9 42
1645.6 1759.7 115.1 0.99 50.2 0.37 3 9.4 2.57 8.11 10
1645.6 1689.9 120.7 0.95 48.2 0.6 5.4 12.3 1.76 9 10
1645.6 1646.3 115.2 0.67 28.1 7.52 35.8 6.2 1.69 4.76 30
1645.7 1807.6 115 0.78 41.3 1.67 5.79 12.8 2.54 3.47 10
1645.7 1706.5 87.1 0.23 5.8 39.23 41.93 0.2 0.26 1.07 60
1645.7 1706.5 90.6 2.95 10.8 15.38 51.13 1.7 0.46 3.32 42
1645.7 1702 103.3 0.9 20.5 1.79 51.32 2.8 1.03 28.67 43
1645.7 1702 99.8 0.84 15.9 1.17 59.65 2.1 0.88 50.98 43
1645.7 1805.2 122.3 0.67 39.3 0.74 8.29 17 2.48 11.2 10
1645.7 1824.7 115.5 0.89 40.3 6.38 12.2 8.6 2.56 1.91 10
1645.7 1793.1 96.7 2.2 31.5 1.63 23.72 4.9 2.03 14.55 43
1645.7 1793.1 93.2 2.81 14.2 13.47 47.09 1.6 0.81 3.5 42
1645.7 1789.3 115.1 1.06 43.3 0.48 6.76 13.6 2.99 14.08 10
1645.7 1674.6 130.1 0.87 48 0.3 6.3 12.4 1.96 21 10
1645.8 1718.2 103.5 1.59 44.5 1.31 10.27 7.5 3.18 7.84 44
1645.8 1718.2 100 1.56 43.8 1.25 12.45 7.4 3.12 9.96 44
1645.8 1740.4 115.2 1.41 47.7 1.17 6.91 9 2.79 5.91 44
