,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-7.58000e-03,-2.40e+00,3.92e-01,-3.12e-01,-5.47e+01, 
-7.48000e-03,-2.40e+00,3.92e-01,-2.81e-01,-5.47e+01, 
-7.38000e-03,-2.48e+00,2.74e-01,-1.87e-01,-5.47e+01, 
-7.28000e-03,-2.48e+00,2.35e-01,-1.72e-01,-5.47e+01, 
-7.18000e-03,-2.60e+00,1.18e-01,-1.09e-01,-5.54e+01, 
-7.08000e-03,-2.60e+00,1.18e-01,-9.36e-02,-5.62e+01, 
-6.98000e-03,-2.68e+00,-3.92e-02,-3.12e-02,-5.54e+01, 
-6.88000e-03,-2.64e+00,-3.92e-02,0.00e+00,-5.54e+01, 
-6.78000e-03,-2.84e+00,-1.96e-01,-4.68e-02,-5.69e+01, 
-6.68000e-03,-2.80e+00,-1.96e-01,-4.68e-02,-5.62e+01, 
-6.58000e-03,-2.88e+00,-3.53e-01,4.68e-02,-5.62e+01, 
-6.48000e-03,-2.88e+00,-3.53e-01,1.09e-01,-5.62e+01, 
-6.38000e-03,-2.92e+00,-4.70e-01,1.56e-01,-5.54e+01, 
-6.28000e-03,-2.88e+00,-5.10e-01,1.56e-01,-5.54e+01, 
-6.18000e-03,-3.00e+00,-6.27e-01,2.18e-01,-5.47e+01, 
-6.08000e-03,-2.96e+00,-6.66e-01,2.18e-01,-5.47e+01, 
-5.98000e-03,-3.08e+00,-7.45e-01,2.34e-01,-5.47e+01, 
-5.88000e-03,-3.04e+00,-7.84e-01,2.50e-01,-5.47e+01, 
-5.78000e-03,-3.08e+00,-9.02e-01,3.43e-01,-5.33e+01, 
-5.68000e-03,-3.08e+00,-9.41e-01,3.28e-01,-5.33e+01, 
-5.58000e-03,-3.04e+00,-1.02e+00,4.37e-01,-5.18e+01, 
-5.48000e-03,-3.04e+00,-1.02e+00,4.21e-01,-5.18e+01, 
-5.38000e-03,-3.12e+00,-1.18e+00,4.52e-01,-5.11e+01, 
-5.28000e-03,-3.08e+00,-1.18e+00,5.15e-01,-5.11e+01, 
-5.18000e-03,-3.12e+00,-1.29e+00,4.37e-01,-4.90e+01, 
-5.08000e-03,-3.12e+00,-1.29e+00,4.68e-01,-4.90e+01, 
-4.98000e-03,-3.08e+00,-1.41e+00,5.46e-01,-4.75e+01, 
-4.88000e-03,-3.08e+00,-1.45e+00,5.62e-01,-4.75e+01, 
-4.78000e-03,-3.04e+00,-1.57e+00,6.55e-01,-4.61e+01, 
-4.68000e-03,-3.04e+00,-1.57e+00,6.40e-01,-4.54e+01, 
-4.58000e-03,-3.00e+00,-1.69e+00,7.18e-01,-4.39e+01, 
-4.48000e-03,-2.96e+00,-1.69e+00,7.18e-01,-4.32e+01, 
-4.38000e-03,-3.04e+00,-1.80e+00,6.55e-01,-4.18e+01, 
-4.28000e-03,-3.00e+00,-1.76e+00,6.86e-01,-4.10e+01, 
