fecha_exacta,dia,mes,media_de_espectadores,mensajes_del_chat,seguimientos,espectadores_maximos,minutos_de_emision,ingresos_por_suscripciones,ingresos_de_prime,ingresos_por_suscripciones_de_regalo,ingresos_por_bits,suscripciones_a_prime,total_de_suscripciones_de_pago,total_de_suscripciones_de_regalo
Wed Jul 14 2021,Wed,Jul,0,0,5,0,0,0,0,0,0,0,0,0
Thu Jul 15 2021,Thu,Jul,25.12,788,12,36,123,0,0,0,0,0,0,0
Fri Jul 16 2021,Fri,Jul,23.63,926,17,31,100,1.8165,1.7465,0,0,1,1,0
Sat Jul 17 2021,Sat,Jul,10.74,747,12,19,155,0,0,0,0,0,0,0
Sun Jul 18 2021,Sun,Jul,13.32,82,5,18,18,0,3.493,0,0.1,2,0,0
Mon Jul 19 2021,Mon,Jul,12.17,551,8,22,104,1.6695,0,0,0,0,1,0
Tue Jul 20 2021,Tue,Jul,0,28,7,0,0,0,0,0,0.35,0,0,0
Wed Jul 21 2021,Wed,Jul,10.62,597,12,36,152,1.1305,0,0,0,0,1,0
Thu Jul 22 2021,Thu,Jul,12.09,801,49,24,199,1.575,0,0,0.14,0,1,0
Fri Jul 23 2021,Fri,Jul,0,5,5,0,0,0,1.7465,0,0,1,0,0
Sat Jul 24 2021,Sat,Jul,0,15,9,0,0,1.806,0,0,0,0,1,0
Sun Jul 25 2021,Sun,Jul,84.27,3121,73,169,446,10.2912,6.986,2.7125,5.84,4,7,2
Mon Jul 26 2021,Mon,Jul,0,6,12,0,0,1.575,1.7465,0,1,1,1,0
Tue Jul 27 2021,Tue,Jul,135.07,819,22,179,57,1.3055,0,0,0,0,1,0
Wed Jul 28 2021,Wed,Jul,47.76,2110,33,112,246,2.0545,1.589,0.9205,0,2,3,1
Thu Jul 29 2021,Thu,Jul,42.06,1290,32,123,196,4.4535,3.3355,0,0.16,3,6,0
Fri Jul 30 2021,Fri,Jul,49.17,3084,33,144,246,0,0,0,0.2,0,0,0
Sat Jul 31 2021,Sat,Jul,47.97,942,12,111,142,3.295,1.7465,1.862,7.09,1,4,2
Sun Aug 01 2021,Sun,Aug,24.35,909,5,40,163,0.8085,0,0,0.5,0,1,0
Mon Aug 02 2021,Mon,Aug,92.31,1057,14,176,111,0.8085,1.589,0,0.09,2,1,0
Tue Aug 03 2021,Tue,Aug,105.57,681,14,148,42,7.208,0.7945,2.268,1.55,1,10,3
Wed Aug 04 2021,Wed,Aug,82.6,800,10,109,72,0.5635,0,0,0,0,1,0
Thu Aug 05 2021,Thu,Aug,29.36,845,23,86,223,0.791,0,0,0.02,0,1,0
Fri Aug 06 2021,Fri,Aug,47.2,1104,21,114,141,2.555,0,0,0.11,0,2,0
Sat Aug 07 2021,Sat,Aug,57.22,1511,14,111,158,2.219,0,2.9785,0.52,0,2,5
Sun Aug 08 2021,Sun,Aug,40.17,1370,25,98,296,2.548,0,0,5,0,3,0
Mon Aug 09 2021,Mon,Aug,125.04,672,24,162,74,0.5495,0,0,0,0,1,0
Tue Aug 10 2021,Tue,Aug,125.07,1213,11,187,62,2.464,0,0,0.25,0,3,0
Wed Aug 11 2021,Wed,Aug,0,0,1,0,0,0.56,0,0,1.05,0,1,0
Thu Aug 12 2021,Thu,Aug,27.91,1182,18,71,238,0,0,1.834,0,0,0,2
Fri Aug 13 2021,Fri,Aug,13.54,400,14,31,156,0,0,0.9135,0,0,0,1
Sat Aug 14 2021,Sat,Aug,52.5,267,6,76,17,0,0.7945,0,0,1,0,0
Sun Aug 15 2021,Sun,Aug,67.52,608,7,91,122,0,0,0,0.12,0,0,0
Mon Aug 16 2021,Mon,Aug,51.69,1327,24,197,220,0.805,0,0,0,0,1,0
Tue Aug 17 2021,Tue,Aug,109.6,818,7,129,61,0.553,2.3835,0,0,3,1,0
Wed Aug 18 2021,Wed,Aug,60.8,472,9,131,64,0,0.7945,0,1,1,0,0
Thu Aug 19 2021,Thu,Aug,8.2,366,14,22,89,2.2225,1.729,0.8015,1.8,2,2,1
Fri Aug 20 2021,Fri,Aug,28.59,981,17,99,195,0,0,0,0,0,0,0
Sat Aug 21 2021,Sat,Aug,88.46,954,6,118,71,0.553,0,0,0.36,0,1,0
Sun Aug 22 2021,Sun,Aug,45.08,650,8,54,97,2.7685,0,8.974,0,0,3,10
Mon Aug 23 2021,Mon,Aug,65.47,1084,24,156,140,0,0,0,0.2,0,0,0
Tue Aug 24 2021,Tue,Aug,88.87,723,4,111,54,3.639,0,1.47,1.1,0,5,2
Wed Aug 25 2021,Wed,Aug,35.8,1689,11,80,160,2.002,0,0,0,0,2,0
Thu Aug 26 2021,Thu,Aug,0,4,1,0,0,0.6405,0,0,0,0,1,0
Fri Aug 27 2021,Fri,Aug,91.31,766,8,118,67,0,0,0,0,0,0,0
Sat Aug 28 2021,Sat,Aug,46.48,1706,97,426,238,1.7605,2.3835,0,0.1,3,2,0
Sun Aug 29 2021,Sun,Aug,24.66,733,13,60,204,5.2049,0,0,0,0,6,0
Mon Aug 30 2021,Mon,Aug,50.44,825,11,104,127,0,0,0,0,0,0,0
Tue Aug 31 2021,Tue,Aug,78.43,622,3,94,54,0.8855,0,0,1,0,1,0
Wed Sep 01 2021,Wed,Sep,63.85,713,62,81,73,2.011,1.652,0,0,1,3,0
Thu Sep 02 2021,Thu,Sep,35.63,402,2,48,59,0,0,0,2.6,0,0,0
Fri Sep 03 2021,Fri,Sep,49.04,149,2,71,24,3.066,1.589,9.5445,0,2,4,10
Sat Sep 04 2021,Sat,Sep,0,2,3,0,0,0,0,0,0,0,0,0
Sun Sep 05 2021,Sun,Sep,32.09,411,6,49,97,0,0.7945,0,0,1,0,0
Mon Sep 06 2021,Mon,Sep,0,0,1,0,0,0,0,0,0,0,0,0
Tue Sep 07 2021,Tue,Sep,35.93,453,4,46,70,0,0,0,0,0,0,0
Wed Sep 08 2021,Wed,Sep,0,19,2,0,0,2.562,0,0,0,0,0,0
Thu Sep 09 2021,Thu,Sep,0,0,1,0,0,0,0,0,0,0,0,0
Fri Sep 10 2021,Fri,Sep,0,0,2,0,0,0,0,0,0,0,0,0
Sat Sep 11 2021,Sat,Sep,23.94,249,13,33,62,0,0,0,2.19,0,0,0
Sun Sep 12 2021,Sun,Sep,0,0,8,0,0,0,0,0,0,0,0,0
Mon Sep 13 2021,Mon,Sep,0.5,33,0,1,2,0,0,0,0,0,0,0
Tue Sep 14 2021,Tue,Sep,33.32,173,5,45,84,0,0,0,0,0,0,0
Wed Sep 15 2021,Wed,Sep,0,2,0,0,0,0,0,0,0,0,0,0
Thu Sep 16 2021,Thu,Sep,9.25,346,5,24,188,0.805,0,0,0,0,0,0
Fri Sep 17 2021,Fri,Sep,0,0,1,0,0,0.6405,0,0,0.3,0,0,0
Sat Sep 18 2021,Sat,Sep,0,0,1,0,0,0,0,0,0,0,0,0
Sun Sep 19 2021,Sun,Sep,30.58,362,2,41,66,1.6695,0,0,0,0,0,0
Mon Sep 20 2021,Mon,Sep,19.41,115,15,32,30,3.3145,0,8.064,0,0,0,0
Tue Sep 21 2021,Tue,Sep,0,2,25,0,0,0,0,0,0,0,0,0
Wed Sep 22 2021,Wed,Sep,36.99,934,28,73,139,1.4315,0.7945,7.1645,3.99,0,0,0
Thu Sep 23 2021,Thu,Sep,54.35,311,388,80,57,0,0,0.931,0,0,0,0
Fri Sep 24 2021,Fri,Sep,171.09,1228,302,211,57,0.7385,0,0,0,0,0,0
Sat Sep 25 2021,Sat,Sep,0,1,106,0,0,1.995,2.5235,2.219,0.2,0,0,0
Sun Sep 26 2021,Sun,Sep,205.03,1418,281,269,72,1.2905,0,0,0.43,0,0,0
Mon Sep 27 2021,Mon,Sep,33,1690,347,236,708,1.449,1.589,6.153,1.07,0,0,0
Tue Sep 28 2021,Tue,Sep,26.56,1071,185,214,700,3.0415,3.241,0.917,7.29,0,0,0
Wed Sep 29 2021,Wed,Sep,19.22,1014,128,151,662,3.094,3.612,0,0.02,0,0,0
Thu Sep 30 2021,Thu,Sep,129.48,886,55,158,61,4.4415,1.589,9.933,1,0,0,0
Fri Oct 01 2021,Fri,Oct,54.53,881,73,136,146,0.749,2.3835,0,0,0,0,0
Sat Oct 02 2021,Sat,Oct,52.21,363,48,71,67,0,0,4.3925,0,0,0,0
Sun Oct 03 2021,Sun,Oct,39.17,1745,57,71,181,2.205,0,0,0,0,0,0
Mon Oct 04 2021,Mon,Oct,63.8,831,68,136,115,1.8585,2.3835,0.6965,0.02,0,0,0
Tue Oct 05 2021,Tue,Oct,73.71,749,48,237,140,0.63,1.589,0,0.1,0,0,0
Wed Oct 06 2021,Wed,Oct,108.62,1065,34,134,67,0,0,0,2.12,0,0,0
Thu Oct 07 2021,Thu,Oct,44.39,1174,34,132,241,3.311,0.7945,0,2,0,0,0
Fri Oct 08 2021,Fri,Oct,31.28,1520,27,100,278,3.0135,0,0,0.5,0,0,0
Sat Oct 09 2021,Sat,Oct,0,0,28,0,0,0.7595,1.652,0,0,0,0,0
Sun Oct 10 2021,Sun,Oct,72.7,348,23,92,50,0.63,1.589,0,0.16,0,0,0
Mon Oct 11 2021,Mon,Oct,110.28,3562,33,135,69,0.525,0,5.999,0,0,0,0
Tue Oct 12 2021,Tue,Oct,121.12,767,28,151,65,1.1585,0.7945,0.6895,0.15,0,0,0
Wed Oct 13 2021,Wed,Oct,116.06,680,17,143,55,1.1655,0.7945,0,0,0,0,0
Thu Oct 14 2021,Thu,Oct,44.18,667,18,122,179,0.7595,0.7945,5.111,4.75,0,0,0
Fri Oct 15 2021,Fri,Oct,16.33,321,15,25,114,0.7595,0,0,0,0,0,0
Sat Oct 16 2021,Sat,Oct,54.54,474,9,91,98,2.2575,0.7945,0,0.67,0,0,0
Sun Oct 17 2021,Sun,Oct,232.9,836,45,290,50,3.5175,0,3.4265,0.16,0,0,0
Mon Oct 18 2021,Mon,Oct,413.38,2457,253,486,67,5.684,0,8.638,3.17,0,0,0
Tue Oct 19 2021,Tue,Oct,202.25,2015,147,436,132,7.728,1.589,3.402,3.76,0,0,0
Wed Oct 20 2021,Wed,Oct,272.02,1177,97,330,52,1.3055,0,0,1.5,0,0,0
